player,unit,totalele,totalatk,totalammo,totalcs,totalhitrate,gear1line1,gear1line2,gear1line3,gear2line1,gear2line2,gear2line3,gear3line1,gear3line2,gear3line3,gear4line1,gear4line2,gear4line3,
cup,helm,42.90,41.61,0.00,12.41,0.00,IncElementDmg: 22.15,StatAtk: 11.81,blank,StatCritical: 4.00,StatAtk: 10.40,StatChargeTime: 2.86,StatChargeDamage: 7.59,StatAtk: 6.88,StatChargeTime: 4.92,StatChargeTime: 4.63,IncElementDmg: 20.75,StatAtk: 12.52
cup,lud,23.56,20.10,150.19,0.00,11.81,StatAtk: 11.81,StatAccuracyCircle: 11.81,blank,IncElementDmg: 23.56,StatDef: 11.81,blank,StatAmmoLoad: 81.26,StatAtk: 8.29,blank,StatAmmoLoad: 68.93,StatCriticalDamage: 16.44,blank
cup,qeq,0.00,23.47,68.93,8.37,6.88,StatChargeTime: 5.51,StatAtk: 7.59,blank,StatAmmoLoad: 68.93,blank,blank,StatAtk: 7.59,StatChargeTime: 2.86,StatAccuracyCircle: 6.88,StatAtk: 8.29,StatDef: 7.59,StatCriticalDamage: 9.58
cup,bready,0.00,0.00,68.93,4.92,0.00,StatCritical: 5.71,StatAmmoLoad: 68.93,blank,StatChargeTime: 4.92,blank,blank,StatChargeDamage: 11.81,blank,blank,blank,blank,blank
cup,viper,0.00,0.00,0.00,0.00,0.00,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
cup,xguill,0.00,0.00,0.00,0.00,0.00,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
cup,fasuka,0.00,0.00,0.00,0.00,0.00,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank,blank
cup,frei,88.61,20.81,137.86,0.00,10.40,IncElementDmg: 22.15,StatAtk: 6.18,blank,IncElementDmg: 22.15,StatAmmoLoad: 73.04,blank,StatAmmoLoad: 64.82,StatAccuracyCircle: 10.40,IncElementDmg: 26.36,StatAtk: 14.63,StatCriticalDamage: 10.56,IncElementDmg: 17.95
cup,modernia,0.00,13.22,194.46,7.49,13.76,StatAtk: 13.22,StatChargeTime: 2.57,StatAccuracyCircle: 5.47,StatAmmoLoad: 60.71,StatAccuracyCircle: 8.29,blank,StatChargeTime: 4.92,StatChargeDamage: 11.81,StatAmmoLoad: 68.93,StatCritical: 5.03,StatChargeDamage: 11.11,StatAmmoLoad: 64.82
cup,alice,42.65,19.40,173.92,8.37,13.93,IncElementDmg: 13.75,StatAmmoLoad: 60.71,blank,StatAmmoLoad: 48.39,StatChargeTime: 4.33,IncElementDmg: 15.15,StatAtk: 13.22,StatAmmoLoad: 64.82,IncElementDmg: 13.75,StatAtk: 6.18,StatChargeTime: 4.04,StatAccuracyCircle: 13.93
cup,rrh,88.61,20.81,137.86,0.00,10.40,IncElementDmg: 22.15,StatAtk: 6.18,blank,IncElementDmg: 22.15,StatAmmoLoad: 73.04,blank,StatAmmoLoad: 64.82,StatAccuracyCircle: 10.40,IncElementDmg: 26.36,StatAtk: 14.63,StatCriticalDamage: 10.56,IncElementDmg: 17.95
